model_name,score,rank
gemini-3-pro,1480.0,1
gpt-5.1-high,1474.0,2
Anthropicclaude-opus-4-5-20251101,1466.0,3
Anthropicclaude-opus-4-5-20251101-thinking-32k,1466.0,3
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1464.0,5
grok-4.1-thinking,1456.0,6
o3-2025-04-16,1455.0,7
gemini-2.5-pro,1453.0,8
Anthropicclaude-opus-4-1-20250805-thinking-16k,1448.0,9
qwen3-max-preview,1442.0,10
gpt-5-high,1438.0,11
grok-4-0709,1437.0,12
qwen3-max-2025-09-23,1436.0,13
Anthropicclaude-opus-4-1-20250805,1434.0,14
MoonshotAIkimi-k2-thinking-turbo,1432.0,15
grok-4.1,1430.0,16
Anthropicclaude-sonnet-4-5-20250929,1429.0,17
qwen3-235b-a22b-instruct-2507,1429.0,17
longcat-flash-chat,1428.0,19
glm-4.6,1428.0,19
deepseek-v3.2-exp-thinking,1428.0,19
qwen3-next-80b-a3b-instruct,1426.0,22
grok-4-fast-chat,1426.0,22
deepseek-v3.2,1425.0,24
deepseek-v3.2-thinking,1425.0,24
deepseek-v3.1-thinking,1422.0,26
gemini-2.5-flash-preview-09-2025,1422.0,26
mistral-large-3,1422.0,26
Anthropicclaude-opus-4-20250514-thinking-16k,1421.0,29
glm-4.5,1420.0,30
o4-mini-2025-04-16,1419.0,31
deepseek-v3.2-exp,1419.0,31
deepseek-v3.1,1418.0,33
gpt-5.1,1418.0,33
MoonshotAIkimi-k2-0905-preview,1417.0,35
deepseek-v3.1-terminus-thinking,1415.0,36
ernie-5.0-preview-1103,1415.0,36
gpt-5-chat,1415.0,36
qwen3-vl-235b-a22b-thinking,1414.0,39
gpt-5-mini-high,1414.0,39
gpt-4.5-preview-2025-02-27,1413.0,41
gemini-2.5-flash,1413.0,41
qwen3-vl-235b-a22b-instruct,1413.0,41
deepseek-r1,1413.0,41
grok-4-fast-reasoning,1412.0,45
o1-2024-12-17,1410.0,46
o3-mini-high,1409.0,47
grok-4-1-fast-reasoning,1406.0,48
Anthropicclaude-sonnet-4-20250514-thinking-32k,1406.0,48
qwen3-32b,1403.0,50
Tencenthunyuan-t1-20250711,1403.0,50
qwen3-235b-a22b-thinking-2507,1403.0,50
chatgpt-4o-latest-20250326,1403.0,50
Anthropicclaude-opus-4-20250514,1402.0,54
mistral-medium-2508,1402.0,54
Minimaxminimax-m1,1402.0,54
qwen3-235b-a22b,1401.0,57
qwen3-next-80b-a3b-thinking,1400.0,58
mai-1-preview,1400.0,58
intellect-3,1400.0,58
deepseek-v3.1-terminus,1399.0,61
deepseek-r1-0528,1398.0,62
qwen3-235b-a22b-no-thinking,1398.0,62
Anthropicclaude-haiku-4-5-20251001,1396.0,64
glm-4.5-air,1396.0,64
grok-3-mini-high,1395.0,66
MoonshotAIkimi-k2-0711-preview,1394.0,67
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1393.0,68
amazon-nova-experimental-chat-10-20,1391.0,69
Anthropicclaude-sonnet-4-20250514,1389.0,70
o1-preview,1387.0,71
gpt-oss-120b,1387.0,71
qwen3-30b-a3b-instruct-2507,1386.0,73
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1386.0,73
o3-mini,1386.0,73
Nvidiallama-3.1-nemotron-ultra-253b-v1,1382.0,76
grok-3-preview-02-24,1380.0,77
qwen3-coder-480b-a35b-instruct,1380.0,77
deepseek-v3-0324,1375.0,79
gpt-4.1-2025-04-14,1374.0,80
grok-3-mini-beta,1373.0,81
gemini-2.5-flash-lite-preview-06-17-thinking,1372.0,82
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1370.0,83
Stepfunstep-3,1370.0,83
qwen2.5-max,1368.0,85
glm-4.5v,1365.0,86
qwq-32b,1365.0,86
o1-mini,1364.0,88
Minimaxminimax-m2,1363.0,89
Anthropicclaude-3-7-sonnet-20250219,1361.0,90
ling-flash-2.0,1358.0,91
gemini-2.0-flash-001,1358.0,91
gpt-4.1-mini-2025-04-14,1357.0,93
gpt-5-nano-high,1356.0,94
mistral-medium-2505,1353.0,95
Tencenthunyuan-turbos-20250416,1352.0,96
Anthropicclaude-3-5-sonnet-20241022,1349.0,97
mistral-small-2506,1346.0,98
nova-2-lite,1345.0,99
Anthropicclaude-3-5-sonnet-20240620,1342.0,100
gemini-1.5-pro-002,1340.0,101
gemini-2.0-flash-lite-preview-02-05,1328.0,102
qwen-plus-0125,1327.0,103
gemma-3-27b-it,1325.0,104
gemma-3-12b-it,1322.0,105
Metallama-3.1-405b-instruct-fp8,1320.0,106
Metallama-3.1-405b-instruct-bf16,1316.0,107
Stepfunstep-2-16k-exp-202412,1316.0,107
deepseek-v3,1315.0,109
Coherecommand-a-03-2025,1313.0,110
gpt-4o-2024-08-06,1310.0,111
gpt-4o-2024-05-13,1307.0,112
gemini-advanced-0514,1304.0,113
Tencenthunyuan-turbos-20250226,1303.0,114
glm-4-plus-0111,1299.0,115
grok-2-2024-08-13,1295.0,116
Tencenthunyuan-turbo-0110,1281.0,117
