Benchmark,Category,N_Samples,N_Questions,Orig_Spearman,Orig_Spearman_P,Robust_Spearman_Mean,Robust_Spearman_CI_Lower,Robust_Spearman_CI_Upper,Robust_Spearman_P_Value,Spearman_Significant_Orig,Spearman_Significant_Robust,Spearman_Status_Change
AIME,Math,55,30,0.5888757362792072,2.2546995238843154e-06,0.5449084924907764,0.43852813852813854,0.647260101010101,0.0,True,True,False
FrontierMath Tier 1-3,Math,26,290,0.8242566230832556,2.2659496430476801e-07,0.8104042680611905,0.7415384615384616,0.8728205128205128,0.0,True,True,False
FrontierMath Tier 4,Math,15,48,0.7310299322905746,0.001959405150781627,0.5516908764095296,0.22937830350070482,0.810843716426003,0.001,True,True,False
HMMT (Feb 2025),Math,9,50,0.5166666666666667,0.1543901209862251,0.5028468379129114,0.15,0.7999999999999999,0.0043,False,True,False
MATH-500,Math,26,500,0.8535251828221139,2.9867614260992976e-08,0.7974175042735042,0.6964102564102563,0.881025641025641,0.0,True,True,False
MGSM,Math,35,2500,0.5765135038610614,0.0002892247191500148,0.5495465266106442,0.45070028011204477,0.6445378151260505,0.0,True,True,False
Aider Polyglot,Coding,29,225,0.774161947462427,8.347382791030578e-07,0.7742070443349751,0.7137931034482757,0.8305418719211821,0.0,True,True,False
HumanEval,Coding,12,164,0.6573426573426573,0.020185498509854096,0.5232279720279722,0.16783216783216784,0.8251748251748254,0.003,True,True,False
IOI,Coding,15,6,0.6618973023925165,0.00718932344524505,0.3171785489862829,-0.14775374388207166,0.7061036566232054,0.0851,True,False,True
LiveCodeBench,Coding,64,454,0.4018372609518097,0.0009974274220845539,0.39701514652014647,0.3549885531135531,0.438598901098901,0.0,True,True,False
SciCode,Coding,64,338,0.560869898130777,1.4327096000235297e-06,0.522451923076923,0.4271474358974358,0.6159821428571427,0.0,True,True,False
SWE-bench (Verified),Coding,26,500,0.5341319319562133,0.004943906190363364,0.5448495726495727,0.4147008547008547,0.671111111111111,0.0,True,True,False
SWE-bench Bash Only,Coding,16,500,0.7361829559719154,0.0011473387578239042,0.7456649999999999,0.6823529411764706,0.8088235294117646,0.0,True,True,False
tau2-Bench Telecom,Coding,58,50,0.3209722661824834,0.014025029924881794,0.3097525443311081,0.23332000369128555,0.3839306038327847,0.0,True,True,False
Terminal-Bench Hard,Coding,58,47,0.648884450670154,3.613287189007785e-08,0.565756975248951,0.46077383021105395,0.6653080481610677,0.0,True,True,False
Terminal-Bench v2.0,Coding,12,100,0.7062937062937064,0.010245193941127854,0.6772000000000001,0.46136363636363653,0.8811188811188813,0.0,True,True,False
IFBench,Instruction Following,56,300,0.3475822110747942,0.008670108575782055,0.3058091866028708,0.23144224196855775,0.3748479152426521,0.0,True,True,False
IFEval,Instruction Following,18,541,-0.08996902432230963,0.7225713739039483,0.027873065015479877,-0.23013415892672856,0.3168214654282766,0.4403,False,False,False
WritingBench,Creative Writing,24,1239,0.3165107753808565,0.13184834086074862,0.3092732173913043,0.19043478260869565,0.4234782608695652,0.0,False,True,False
AA-LCR,Hard Prompts,56,100,0.4574141109395982,0.00039373143118309593,0.4358087795772857,0.36677887901572115,0.502188995215311,0.0,True,True,False
ARC-AGI-2,Hard Prompts,22,360,0.4637610990066394,0.029705921697179366,0.4685810288981687,0.34952004517221913,0.5821569734613213,0.0,True,True,False
FACTS,Hard Prompts,14,1719,0.5522555597041,0.040581852891811016,0.5222901098901098,0.38461538461538464,0.6395604395604396,0.0,True,True,False
MMLU-Pro,Hard Prompts,64,12000,0.7728095451616277,7.38027036828364e-14,0.760971639194139,0.7349358974358974,0.7865396062271061,0.0,True,True,False
GPQA,Expert,24,448,0.5335074482510119,0.00725731131287095,0.4737426956521738,0.2817391304347826,0.6539130434782607,0.0,True,True,False
GPQA Diamond,Expert,63,198,0.6486774526501236,8.976455555346226e-09,0.6198378504224271,0.5463697676651306,0.6907654089861751,0.0,True,True,False
Humanity's Last Exam,Expert,62,2500,0.561988965323259,2.0051673277560434e-06,0.5531808818715218,0.49449774621641357,0.6100324847019718,0.0,True,True,False
SuperGPQA,Expert,24,26529,0.5335074482510119,0.00725731131287095,0.5105660869565217,0.4052173913043478,0.6139130434782608,0.0,True,True,False
