model_name,score,rank
gpt-5-2025-08-07,83.87,1
qwen3-235b-a22b-thinking-2507,82.34,2
kimi-k2-instruct,81.26,3
claude-sonnet-4-5-20250929,80.706,4
o3-2025-04-16,80.46,5
qwen3-235b-a22b-instruct-2507,80.264,6
qwen3-max,80.264,6
claude-opus-4-5-20251101,79.78,8
doubao-seed-1-6-thinking-250715,79.29,9
gemini-2.5-pro,79.26,10
nanbeige4-3b-thinking-2511,79.032,11
deepseek-r1-0528,78.922,12
doubao-seed-1-6-thinking-250615,78.764,13
gemini-3-pro-preview,78.498,14
doubao-seed-1-6-250615,78.326,15
claude-haiku-4-5-20251001,77.086,16
claude-opus-4-1-20250805,76.364,17
claude-opus-4-20250514-thinking,75.116,18
qwen3-235b-a22b-thinking,74.732,19
grok-4-0709,74.654,20
claude-opus-4-20250514,74.448,21
claude-sonnet-4-20250514,74.1,22
claude-sonnet-4-20250514-thinking,74.068,23
claude-3-7-sonnet-20250219-thinking,73.402,24
chatgpt-4o-latest,73.224,25
o4-mini-2025-04-16,72.904,26
claude-3-7-sonnet-20250219,72.446,27
qwen3-235b-a22b-nothinking,72.436,28
qwq-32b,72.402,29
deepseek-r1,72.134,30
grok-3,71.718,31
gpt-4.1-2025-04-14,70.902,32
deepseek-v3-250324,69.362,33
o3-mini,68.02,34
gpt-4.5-preview,67.612,35
gemini-2.0-flash,66.802,36
qwen-max,66.784,37
o1-preview-2024-09-12,63.438,38
deepseek-v3,59.232,39
gemini-1.5-pro,58.804,40
qwen-2.5-72b-instruct,57.782,41
gpt-4o-mini,56.396,42
mistral-large-instruct-2411,54.444,43
claude-3-5-sonnet-20241022,53.764,44
llama-4-maverick-17b-128e,52.554,45
llama-4-scout-17b-16e-instruct,52.02,46
qwen-2.5-7b-instruct,49.458,47
claude-3-5-haiku-20241022,49.06,48
llama-3.3-70b-instruct,48.036,49
qwen3-0.6b-thinking,45.078,50
qwen3-0.6b-nothinking,41.466,51
llama-3.1-8b-instruct,40.18,52
llama-3.2-3b-instruct,38.142,53
llama-3.2-1b-instruct,28.742,54
