Model,Features Creator,Intelligence Terminal-Bench Hard (Agentic Coding & Terminal Use)
Gemini 3 Pro Preview (high),Google,39%
GPT-5.2 (xhigh),OpenAI,44%
Gemini 3 Flash,Google,36%
Claude Opus 4.5,Anthropic,44%
GPT-5.1 (high),OpenAI,43%
GPT-5 Codex (high),OpenAI,36%
GPT-5 (high),OpenAI,31%
GLM-4.7,Z AI,30%
Kimi K2 Thinking,Kimi,29%
GPT-5.1 Codex (high),OpenAI,33%
GPT-5 (medium),OpenAI,36%
MiMo-V2-Flash,Xiaomi,26%
DeepSeek V3.2,DeepSeek,33%
o3,OpenAI,35%
Grok 4,xAI,38%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,32%
GPT-5 mini (high),OpenAI,31%
Grok 4.1 Fast,xAI,23%
MiniMax-M2.1,MiniMax,27%
KAT-Coder-Pro V1,KwaiKAT,9%
Claude 4.5 Sonnet,Anthropic,33%
Nova 2.0 Pro Preview (medium),Amazon,23%
GPT-5.1 Codex mini (high),OpenAI,31%
GPT-5 (low),OpenAI,25%
MiniMax-M2,MiniMax,24%
GPT-5 mini (medium),OpenAI,27%
gpt-oss-120B (high),OpenAI,22%
Grok 4 Fast,xAI,18%
Claude Opus 4.5,Anthropic,38%
Gemini 2.5 Pro,Google,25%
o4-mini (high),OpenAI,14%
Claude 4.1 Opus,Anthropic,32%
DeepSeek V3.2 Speciale,DeepSeek,33%
Nova 2.0 Lite (medium),Amazon,16%
DeepSeek V3.1 Terminus,DeepSeek,28%
Nova 2.0 Pro Preview (low),Amazon,16%
Qwen3 235B A22B 2507,Alibaba,13%
Doubao Seed Code,ByteDance Seed,25%
Grok 3 mini Reasoning (high),xAI,16%
Apriel-v1.6-15B-Thinker,ServiceNow,14%
DeepSeek V3.2 Exp,DeepSeek,29%
Claude 4 Sonnet,Anthropic,30%
Nova 2.0 Omni (medium),Amazon,4%
GLM-4.6,Z AI,23%
Qwen3 Max Thinking,Alibaba,16%
Qwen3 Max,Alibaba,19%
Claude 4.5 Haiku,Anthropic,26%
Gemini 3 Flash,Google,30%
Gemini 2.5 Flash (Sep),Google,16%
Qwen3 VL 235B A22B,Alibaba,11%
Qwen3 Next 80B A3B,Alibaba,9%
Claude 4 Opus,Anthropic,29%
Gemini 2.5 Pro (Mar),Google,--
DeepSeek V3.1,DeepSeek,24%
ERNIE 5.0 Thinking Preview,Baidu,23%
Gemini 2.5 Pro (May),Google,--
DeepSeek V3.2,DeepSeek,31%
gpt-oss-20B (high),OpenAI,10%
Magistral Medium 1.2,Mistral,13%
DeepSeek R1 0528,DeepSeek,15%
Qwen3 VL 32B,Alibaba,7%
NVIDIA Nemotron 3 Nano,NVIDIA,13%
Seed-OSS-36B-Instruct,ByteDance Seed,6%
