Benchmark,Category,N_Samples,N_Questions,Orig_Spearman,Simulated_Rho,Simulated_95_CI_Lower,Simulated_95_CI_Upper,Nonpositive_Fraction,Directionally_Stable_95CI
AIME,Math,62,30,0.5567663647990153,0.5166320213542848,0.4173893883306893,0.6135088514517388,0.0,True
FrontierMath Tier 1-3,Math,35,290,0.8445691005836703,0.812729943977591,0.7574229691876752,0.8627450980392158,0.0,True
FrontierMath Tier 4,Math,23,48,0.7807200471980092,0.6353984938977439,0.3677716589450204,0.8277367582795281,0.0,True
HMMT (Feb 2025),Math,8,50,0.5952380952380953,0.5794119047619049,0.19047619047619052,0.880952380952381,0.0025,True
MATH-500,Math,27,500,0.8549176915841947,0.8191515873015873,0.735042735042735,0.8913308913308913,0.0,True
MGSM,Math,36,2500,0.3921026680343059,0.35687601029601035,0.24504504504504507,0.4733655083655084,0.0,True
Aider Polyglot,Coding,26,225,0.8053037844301797,0.7805426324786324,0.6950427350427351,0.8577777777777776,0.0,True
HumanEval,Coding,12,164,0.5919448657459025,0.4840489510489511,0.1328671328671329,0.7902097902097903,0.005,True
IOI,Coding,21,6,0.6764133981529971,0.3690888311688312,-0.007792207792207793,0.6857142857142857,0.0275,False
LiveCodeBench,Coding,72,454,0.37007064441195225,0.36305651167277647,0.31436024824747577,0.41047977361888227,0.0,True
SciCode,Coding,72,338,0.5252709861722675,0.47114992604025985,0.3674191266319378,0.5729042060582674,0.0,True
SWE-bench (Verified),Coding,32,500,0.6060328866366406,0.60458676686217,0.5051319648093842,0.6972140762463341,0.0,True
SWE-bench Bash Only,Coding,18,500,0.7025357659056002,0.6963531475748194,0.6099071207430341,0.7729618163054695,0.0,True
tau2-Bench Telecom,Coding,64,50,0.3323786299828462,0.3202229212454212,0.24088713369963366,0.3987248168498167,0.0,True
Terminal-Bench Hard,Coding,63,47,0.6059895923478684,0.540036539938556,0.4333717357910906,0.6407930107526882,0.0,True
Terminal-Bench v2.0,Coding,14,100,0.8417582417582418,0.7903050549450549,0.6351648351648352,0.9208791208791209,0.0,True
IFBench,Instruction Following,63,300,0.4162713845054609,0.33868650633640557,0.2426015264976959,0.42814300115207365,0.0,True
IFEval,Instruction Following,20,541,0.026365365230536338,0.10120300751879699,-0.14285714285714285,0.36244360902255585,0.23,False
Creative Writing v3,Creative Writing,28,96,0.6368241467890694,,,,,
WritingBench,Creative Writing,29,1239,0.3804066803384363,0.3828368472906403,0.27241379310344827,0.4891625615763546,0.0,True
AA-LCR,Hard Prompts,63,100,0.4228441468502116,0.40655265421609355,0.33478780336673525,0.4755281005949418,0.0,True
ARC-AGI-2,Hard Prompts,26,360,0.5158874810192171,0.5028096410256411,0.3887008547008547,0.6143589743589742,0.0,True
FACTS,Hard Prompts,12,1719,0.6619975125797373,0.6152188811188812,0.4685314685314686,0.7412587412587414,0.0,True
MMLU-Pro,Hard Prompts,71,12000,0.7491520829830798,0.7360417672702884,0.7041247484909456,0.765862676056338,0.0,True
GPQA,Expert,30,448,0.4711709706144257,0.4411102113459399,0.27607341490545056,0.5915572858731922,0.0,True
GPQA Diamond,Expert,70,198,0.739881064125302,0.6908866310908931,0.622885136908407,0.7519394628641414,0.0,True
Humanity's Last Exam,Expert,70,2500,0.6155955082380388,0.5933430496019596,0.5401268480447905,0.6451062899133934,0.0,True
SuperGPQA,Expert,30,26529,0.4711709706144257,0.46542829810901004,0.3846496106785317,0.5439377085650723,0.0,True
