model_name,score,rank
Nova 2.0 Pro Preview (low),80.0,1
Nova 2.0 Pro Preview (medium),79.0,2
Gemini 3 Flash Thinking,78.0,3
GPT-5 mini (high),75.0,4
GPT-5.2 (xhigh),75.0,4
GPT-5 Codex (high),74.0,6
GPT-5 (high),73.0,7
GPT-5.1 (high),73.0,7
MiniMax-M2,72.0,9
GPT-5 (medium),71.0,10
GPT-5 mini (medium),71.0,10
NVIDIA Nemotron 3 Nano Thinking,71.0,10
o3,71.0,10
GPT-5.1 Codex (high),70.0,14
Gemini 3 Pro Preview (high),70.0,14
MiniMax-M2.1,70.0,14
Apriel-v1.6-15B-Thinker,69.0,17
Nova 2.0 Lite (medium),69.0,17
gpt-oss-120B (high),69.0,17
o4-mini (high),69.0,17
GLM-4.7 Thinking,68.0,21
GPT-5 nano (high),68.0,21
GPT-5.1 Codex mini (high),68.0,21
KAT-Coder-Pro V1,68.0,21
Kimi K2 Thinking,68.0,21
GPT-5 (low),67.0,26
GPT-5 nano (medium),66.0,27
Nova 2.0 Omni (medium),66.0,27
Olmo 3.1 32B Think,66.0,27
gpt-oss-20B (high),65.0,30
DeepSeek V3.2 Speciale,64.0,31
MiMo-V2-Flash Thinking,64.0,31
Apriel-v1.5-15B-Thinker,62.0,33
Nova 2.0 Omni (low),62.0,33
DeepSeek V3.2 Thinking,61.0,35
Nova 2.0 Lite (low),61.0,35
Qwen3 Next 80B A3B Thinking,61.0,35
K2-V2 (high),60.0,38
Qwen3 VL 32B Thinking,59.0,39
Claude Opus 4.5 Thinking,58.0,40
gpt-oss-120B (low),58.0,40
gpt-oss-20B (low),58.0,40
Claude 4.5 Sonnet Thinking,57.0,43
DeepSeek V3.1 Terminus Thinking,57.0,43
Motif-2-12.7B,57.0,43
Qwen3 VL 235B A22B Thinking,56.0,46
Claude 4 Sonnet Thinking,55.0,47
Claude 4.1 Opus Thinking,55.0,47
GLM-4.7 Non-Thinking,55.0,47
Gemini 3 Flash Non-Thinking,55.0,47
K2-V2 (medium),55.0,47
Claude 4 Opus Thinking,54.0,52
Claude 4.5 Haiku Thinking,54.0,52
DeepSeek V3.2 Exp Thinking,54.0,52
Grok 4,54.0,52
Qwen3 Max Thinking,54.0,52
Gemini 2.5 Flash-Lite (Sep) Thinking,53.0,57
Grok 4.1 Fast Thinking,53.0,57
Gemini 2.5 Flash (Sep) Thinking,52.0,59
Jamba Reasoning 3B,52.0,59
Nova 2.0 Pro Preview,52.0,59
Doubao Seed Code,51.0,62
Grok 4 Fast Thinking,51.0,62
Qwen3 235B A22B 2507,51.0,62
Qwen3 30B A3B 2507 Thinking,51.0,62
Gemini 2.5 Flash Thinking 2505,50.0,66
Gemini 2.5 Flash-Lite Thinking,50.0,66
Gemini 3 Pro Preview (low),50.0,66
Qwen3 4B 2507 Thinking,50.0,66
DeepSeek V3.2 Non-Thinking,49.0,70
Gemini 2.5 Pro,49.0,70
OLMo 3 32B Think,49.0,70
Claude 3.7 Sonnet Thinking,48.0,73
Qwen3 Max (Preview),48.0,73
GPT-5.2,47.0,75
Grok 3,47.0,75
Llama 3.3 70B,47.0,75
Cogito v2.1,46.0,78
GPT-5 (minimal),46.0,78
GPT-5 mini (minimal),46.0,78
Grok 3 mini Reasoning (high),46.0,78
Mi:dm K 2.5 Pro Preview,46.0,78
Qwen3 235B 2507,46.0,78
Claude 4 Sonnet Non-Thinking,45.0,84
GPT-5 (ChatGPT),45.0,84
Qwen3 VL 30B A3B Thinking,45.0,84
Ring-1T,45.0,84
Claude 3.7 Sonnet Non-Thinking,44.0,88
GLM-4.5,44.0,88
Gemini 2.5 Flash (Sep) Non-Thinking,44.0,88
Magistral Small 1.2,44.0,88
Qwen3 Max,44.0,88
Claude 4 Opus Non-Thinking,43.0,93
