model_name,score,rank
Gemini 3 Pro Preview (high),37.0,1
Gemini 3 Flash Thinking,35.0,2
KAT-Coder-Pro V1,33.0,3
GPT-5.2 (xhigh),31.0,4
Claude Opus 4.5 Thinking,28.0,5
Gemini 3 Pro Preview (low),28.0,5
GPT-5 (high),27.0,7
GPT-5.1 (high),27.0,7
DeepSeek V3.2 Speciale,26.0,9
GPT-5 Codex (high),26.0,9
GLM-4.7 Thinking,25.0,11
GPT-5 (medium),24.0,12
Grok 4,24.0,12
GPT-5.1 Codex (high),23.0,14
DeepSeek V3.2 Thinking,22.0,15
Kimi K2 Thinking,22.0,15
MiniMax-M2.1,22.0,15
Gemini 2.5 Pro,21.0,18
MiMo-V2-Flash Thinking,21.0,18
GPT-5 mini (high),20.0,20
o3,20.0,20
gpt-oss-120B (high),19.0,22
GPT-5 (low),18.0,23
Grok 4.1 Fast Thinking,18.0,23
o4-mini (high),18.0,23
Claude 4.5 Sonnet Thinking,17.0,26
GPT-5.1 Codex mini (high),17.0,26
Gemini 2.5 Pro (Mar),17.0,26
Grok 4 Fast Thinking,17.0,26
DeepSeek R1 0528,15.0,30
DeepSeek V3.1 Terminus Thinking,15.0,30
GPT-5 mini (medium),15.0,30
Gemini 2.5 Pro (May),15.0,30
Qwen3 235B A22B 2507,15.0,30
DeepSeek V3.2 Exp Thinking,14.0,35
Gemini 3 Flash Non-Thinking,14.0,35
Claude Opus 4.5 Non-Thinking,13.0,37
DeepSeek V3.1 Thinking,13.0,37
Doubao Seed Code,13.0,37
ERNIE 5.0 Thinking Preview,13.0,37
GLM-4.6 Thinking,13.0,37
Gemini 2.5 Flash (Sep) Thinking,13.0,37
MiniMax-M2,13.0,37
Apriel-v1.5-15B-Thinker,12.0,44
Claude 4 Opus Thinking,12.0,44
Claude 4.1 Opus Thinking,12.0,44
GLM-4.5,12.0,44
Gemini 2.5 Flash Thinking 2504,12.0,44
Qwen3 235B Thinking,12.0,44
Qwen3 Max Thinking,12.0,44
Qwen3 Next 80B A3B Thinking,12.0,44
o3-mini (high),12.0,44
Cogito v2.1,11.0,53
DeepSeek V3.2 Non-Thinking,11.0,53
EXAONE 4.0 32B Thinking,11.0,53
Gemini 2.5 Flash Thinking 2505,11.0,53
Grok 3 mini Reasoning (high),11.0,53
Qwen3 235B 2507,11.0,53
Qwen3 Max,11.0,53
Apriel-v1.6-15B-Thinker,10.0,60
Claude 3.7 Sonnet Thinking,10.0,60
Claude 4 Sonnet Thinking,10.0,60
Claude 4.5 Haiku Thinking,10.0,60
Hermes 4 405B Thinking,10.0,60
K2-V2 (high),10.0,60
Magistral Medium 1,10.0,60
Magistral Medium 1.2,10.0,60
NVIDIA Nemotron 3 Nano Thinking,10.0,60
Qwen3 30B A3B 2507 Thinking,10.0,60
Qwen3 VL 235B A22B Thinking,10.0,60
Qwen3 VL 32B Thinking,10.0,60
Ring-1T,10.0,60
gpt-oss-20B (high),10.0,60
DeepSeek R1 (Jan),9.0,74
DeepSeek V3.2 Exp Non-Thinking,9.0,74
GLM-4.6V Thinking,9.0,74
Mi:dm K 2.5 Pro Preview,9.0,74
Nova 2.0 Lite (medium),9.0,74
Nova 2.0 Pro Preview (medium),9.0,74
Qwen3 Max (Preview),9.0,74
Qwen3 VL 30B A3B Thinking,9.0,74
Ring-flash-2.0,9.0,74
Seed-OSS-36B-Instruct,9.0,74
o3-mini,9.0,74
DeepSeek V3.1 Terminus Non-Thinking,8.0,85
GPT-5 nano (high),8.0,85
GPT-5 nano (medium),8.0,85
Gemini 2.5 Flash (Sep) Non-Thinking,8.0,85
Grok Code Fast 1,8.0,85
Hermes 4 70B Thinking,8.0,85
Llama Nemotron Ultra,8.0,85
MiMo-V2-Flash Non-Thinking,8.0,85
MiniMax M1 40k,8.0,85
MiniMax M1 80k,8.0,85
Motif-2-12.7B,8.0,85
QwQ-32B,8.0,85
Qwen3 32B Thinking,8.0,85
Sonar Pro,8.0,85
o1,8.0,85
Claude 4.5 Sonnet Non-Thinking,7.0,100
DBRX,7.0,100
GLM-4.5-Air,7.0,100
GPT-5.2,7.0,100
Gemini 2.0 Flash Thinking exp. (Jan),7.0,100
Gemini 2.0 Pro Experimental,7.0,100
Gemini 2.5 Flash-Lite (Sep) Thinking,7.0,100
Kimi K2,7.0,100
Ling-1T,7.0,100
Llama 3.3 Nemotron Super 49B Thinking,7.0,100
Llama Nemotron Super 49B v1.5 Thinking,7.0,100
Magistral Small 1,7.0,100
Nova 2.0 Omni (medium),7.0,100
Qwen3 30B Thinking,7.0,100
Qwen3 30B A3B 2507 Non-Thinking,7.0,100
Qwen3 Next 80B A3B Non-Thinking,7.0,100
Qwen3 Omni 30B A3B Thinking,7.0,100
Solar Pro 2 Thinking,7.0,100
Sonar,7.0,100
Claude 4 Opus Non-Thinking,6.0,119
DeepSeek R1 0528 Qwen3 8B,6.0,119
DeepSeek R1 Distill Llama 70B,6.0,119
DeepSeek R1 Distill Qwen 32B,6.0,119
DeepSeek V3.1 Non-Thinking,6.0,119
Exaone 4.0 1.2B Non-Thinking,6.0,119
Exaone 4.0 1.2B Thinking,6.0,119
GLM-4.5V Thinking,6.0,119
GLM-4.7 Non-Thinking,6.0,119
GPT-5 (ChatGPT),6.0,119
Gemini 2.5 Flash-Lite Thinking,6.0,119
Granite 4.0 350M,6.0,119
Granite 4.0 H 350M,6.0,119
HyperCLOVA X SEED Think (32B),6.0,119
Kimi K2 0905,6.0,119
LFM2 1.2B,6.0,119
Ling-flash-2.0,6.0,119
Llama 2 Chat 7B,6.0,119
Magistral Small 1.2,6.0,119
OLMo 2 7B,6.0,119
OLMo 3 32B Think,6.0,119
OLMo 3 7B,6.0,119
OLMo 3 7B Think,6.0,119
Olmo 3.1 32B Think,6.0,119
Qwen3 0.6B Thinking,6.0,119
Qwen3 4B 2507 Thinking,6.0,119
Qwen3 VL 235B A22B Non-Thinking,6.0,119
Qwen3 VL 30B A3B Non-Thinking,6.0,119
Qwen3 VL 32B Non-Thinking,6.0,119
Solar Pro 2 Preview Thinking,6.0,119
Claude 3.7 Sonnet Non-Thinking,5.0,149
Command A,5.0,149
Command-R (Mar),5.0,149
Command-R+ (Apr),5.0,149
DeepSeek Coder V2 Lite,5.0,149
DeepSeek V3 0324,5.0,149
EXAONE 4.0 32B Non-Thinking,5.0,149
GLM-4.6 Non-Thinking,5.0,149
GPT-4.1,5.0,149
GPT-4.1 mini,5.0,149
GPT-4o (Mar),5.0,149
GPT-5 (minimal),5.0,149
GPT-5 mini (minimal),5.0,149
GPT-5.1,5.0,149
Gemini 1.0 Pro,5.0,149
Gemini 1.5 Flash-8B,5.0,149
Gemini 1.5 Pro (Sep),5.0,149
Gemini 2.0 Flash,5.0,149
Gemini 2.0 Flash (exp),5.0,149
Gemini 2.5 Flash Non-Thinking 2504,5.0,149
Gemini 2.5 Flash Non-Thinking 2505,5.0,149
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,5.0,149
Gemma 3 12B,5.0,149
Gemma 3 1B,5.0,149
Gemma 3 27B,5.0,149
Gemma 3 4B,5.0,149
Gemma 3n E4B (May),5.0,149
Granite 4.0 1B,5.0,149
Granite 4.0 H 1B,5.0,149
Granite 4.0 Micro,5.0,149
Grok 3,5.0,149
Grok 4 Fast Non-Thinking,5.0,149
Grok 4.1 Fast Non-Thinking,5.0,149
Grok Beta,5.0,149
Jamba 1.5 Mini,5.0,149
Jamba 1.6 Mini,5.0,149
Jamba 1.7 Mini,5.0,149
Jamba Reasoning 3B,5.0,149
LFM 40B,5.0,149
LFM2 2.6B,5.0,149
LFM2 8B A1B,5.0,149
Ling-mini-2.0,5.0,149
Llama 2 Chat 13B,5.0,149
Llama 2 Chat 70B,5.0,149
Llama 3 8B,5.0,149
Llama 3.1 70B,5.0,149
Llama 3.1 8B,5.0,149
Llama 3.1 Nemotron 70B,5.0,149
