Model,Abilities,Elo Score,Unnamed: 3
🆕 claude-opus-4-5-20251101,,1642.8,Sample
Kimi-K2-Instruct,,1641.4,Sample
🆕 gpt-5.2,,1637.2,Sample
o3,,1613.8,Sample
claude-sonnet-4.5,,1609.8,Sample
Kimi-K2-Thinking,,1577.4,Sample
horizon-alpha,,1573.9,Sample
horizon-beta,,1562.2,Sample
claude-opus-4,,1530.4,Sample
gpt-5-2025-08-07,,1525.6,Sample
-R1,,1500.0,Sample
🆕 DeepSeek-V3.2,,1491.5,Sample
chatgpt-4o-latest-2025-03-27,,1473.2,Sample
claude-sonnet-4,,1430.3,Sample
gemini-3-pro-preview,,1426.8,Sample
claude-3-5-sonnet-20241022,,1381.3,Sample
gpt-4.1,,1377.3,Sample
-V3-0324,,1371.0,Sample
optimus-alpha,,1369.6,Sample
gemini-2.5-pro-preview-06-05,,1368.4,Sample
-medium-3.1,,1368.3,Sample
-V3.1,,1364.0,Sample
claude-3-7-sonnet-20250219,,1362.6,Sample
-R1-0528,,1356.5,Sample
gemini-2.5-pro-exp-03-25,,1349.9,Sample
Hermes-4-405B,,1349.7,Sample
🆕 Mistral-Large-3-675B-Instruct-2512,,1332.3,Sample
GLM-4.6,,1318.3,Sample
chatgpt-4o-latest-2025-01-29,,1296.4,Sample
quasar-alpha,,1288.4,Sample
🆕 mistral-small-creative,,1284.3,Sample
grok-4.1-fast,,1268.5,Sample
sherlock-dash-alpha,,1253.6,Sample
qwen3-235b-a22b:thinking,,1247.5,Sample
GLM-4.5,,1235.9,Sample
gpt-5-mini-2025-08-07,,1209.0,Sample
🆕 DeepSeek-V3.2-Speciale,,1204.3,Sample
gemma-3-27b-it,,1175.8,Sample
-Small-3.2-24B-Instruct-2506,,1136.4,Sample
grok-3-beta,,1128.0,Sample
gpt-4.5-preview,,1125.1,Sample
reka-flash-3,,1118.8,Sample
qwq-32b,,1101.6,Sample
claude-3.5-haiku-20241022,,1099.8,Sample
gemini-2.5-flash-preview,,1095.2,Sample
gemma-3-4b-it,,1073.2,Sample
gpt-4.1-mini,,1069.7,Sample
c4ai-command-a-03-2025,,1064.4,Sample
gemma-3-12b-it,,1063.0,Sample
gemini-2.0-flash-001,,1053.6,Sample
Gemma-3-Glitter-12B,,1043.9,Sample
GLM-4-32B-0414,,1003.5,Sample
-large-2411,,973.2,Sample
Darkest-muse-v1,,966.4,Sample
Pixtral-Large-Instruct-2411,,960.1,Sample
gpt-oss-120b,,951.6,Sample
llama-3.1-405b-instruct,,900.4,Sample
gpt-4.1-nano,,899.9,Sample
🆕 Nanbeige4-3B-Thinking-2511,,858.3,Sample
Gemma-3-Starshine-12B,,857.5,Sample
Llama-4-Maverick-17B-128E-Instruct,,824.0,Sample
gemma-2-Ifable-9B,,823.1,Sample
gpt-4o-mini,,807.4,Sample
-Nemo-Instruct-2407,,805.7,Sample
model_name,,800.0,Sample
gemma-2-9b-it,,758.1,Sample
llama-3.1-70b-instruct,,730.5,Sample
claude-3-haiku,,717.0,Sample
cypher-alpha,,705.2,Sample
-small-3.1-24b-instruct-2503,,688.4,Sample
Llama-4-Scout-17B-16E-Instruct,,674.7,Sample
gpt-4-0314,,645.4,Sample
-Small-24B-Instruct-2501,,623.1,Sample
gpt-5-nano-2025-08-07,,612.6,Sample
llama-3.1-8b-instruct,,599.7,Sample
lfm-7b,,585.1,Sample
gpt-oss-20b,,582.9,Sample
llama-3.2-3b-instruct,,509.9,Sample
gpt-3.5-turbo-0613,,388.1,Sample
llama-3.2-1b-instruct,,200.0,Sample
