model_name,score,rank
Gemini 3 Pro Preview (high),92.0,1
Gemini 3 Flash,91.0,2
DeepSeek V3.2 Speciale,90.0,3
GPT-5.2 (xhigh),89.0,4
GLM-4.7,89.0,4
gpt-oss-120B (high),88.0,6
Claude Opus 4.5,87.0,7
GPT-5.1 (high),87.0,7
MiMo-V2-Flash,87.0,7
DeepSeek V3.2,86.0,10
Gemini 3 Pro Preview (low),86.0,10
o4-mini (high),86.0,10
GPT-5 (high),85.0,13
Kimi K2 Thinking,85.0,13
GPT-5.1 Codex (high),85.0,13
GPT-5 Codex (high),84.0,16
GPT-5 mini (high),84.0,16
GPT-5.1 Codex mini (high),84.0,16
MiniMax-M2,83.0,19
Grok 4 Fast,83.0,19
Grok 4,82.0,21
Grok 4.1 Fast,82.0,21
o3,81.0,23
MiniMax-M2.1,81.0,23
Apriel-v1.6-15B-Thinker,81.0,23
ERNIE 5.0 Thinking Preview,81.0,23
Gemini 2.5 Pro,80.0,27
DeepSeek V3.1 Terminus,80.0,27
Gemini 3 Flash,80.0,27
Qwen3 235B A22B 2507,79.0,30
DeepSeek V3.2 Exp,79.0,30
GPT-5 nano (high),79.0,30
Qwen3 Next 80B A3B,78.0,33
Gemini 2.5 Pro (Mar),78.0,33
DeepSeek V3.1,78.0,33
gpt-oss-20B (high),78.0,33
Doubao Seed Code,77.0,37
Qwen3 Max,77.0,37
Gemini 2.5 Pro (May),77.0,37
DeepSeek R1 0528,77.0,37
Seed-OSS-36B-Instruct,77.0,37
GPT-5 (low),76.0,42
GPT-5 nano (medium),76.0,42
KAT-Coder-Pro V1,75.0,44
Magistral Medium 1.2,75.0,44
EXAONE 4.0 32B,75.0,44
Claude Opus 4.5,74.0,47
Qwen3 VL 32B,74.0,47
NVIDIA Nemotron 3 Nano,74.0,47
GLM-4.5,74.0,47
Llama Nemotron Super 49B v1.5,74.0,47
Nova 2.0 Pro Preview (medium),73.0,52
Apriel-v1.5-15B-Thinker,73.0,52
o3-mini (high),73.0,52
o3-mini,72.0,55
Magistral Small 1.2,72.0,55
NVIDIA Nemotron Nano 9B V2,72.0,55
Claude 4.5 Sonnet,71.0,58
Gemini 2.5 Flash (Sep),71.0,58
gpt-oss-120B (low),71.0,58
Qwen3 30B A3B 2507,71.0,58
MiniMax M1 80k,71.0,58
GPT-5 (medium),70.0,63
Grok 3 mini Reasoning (high),70.0,63
GLM-4.6,70.0,63
Gemini 2.5 Flash,70.0,63
Qwen3 VL 30B A3B,70.0,63
Olmo 3.1 32B Think,70.0,63
NVIDIA Nemotron Nano 9B V2,70.0,63
GPT-5 mini (medium),69.0,70
Gemini 2.5 Flash-Lite (Sep),69.0,70
K2-V2 (high),69.0,70
Hermes 4 405B,69.0,70
NVIDIA Nemotron Nano 12B v2 VL,69.0,70
Cogito v2.1,69.0,70
GLM-4.5-Air,68.0,76
o1,68.0,76
Qwen3 Next 80B A3B,68.0,76
Ling-1T,68.0,76
Qwen3 Omni 30B A3B,68.0,76
GPT-5.2,67.0,81
OLMo 3 32B Think,67.0,81
Nova 2.0 Lite (medium),66.0,83
Claude 4 Sonnet,66.0,83
Nova 2.0 Omni (medium),66.0,83
Grok Code Fast 1,66.0,83
MiniMax M1 40k,66.0,83
Claude 4.1 Opus,65.0,88
Qwen3 VL 235B A22B,65.0,88
Qwen3 Max (Preview),65.0,88
Motif-2-12.7B,65.0,88
gpt-oss-20B (low),65.0,88
Hermes 4 70B,65.0,88
Nova 2.0 Pro Preview (low),64.0,94
Claude 4 Opus,64.0,94
Qwen3 4B 2507,64.0,94
Ring-1T,64.0,94
Gemini 2.5 Flash-Lite (Sep),64.0,94
Llama Nemotron Ultra,64.0,94
Gemini 2.5 Flash (Sep),63.0,100
HyperCLOVA X SEED Think (32B),63.0,100
Ring-flash-2.0,63.0,100
QwQ-32B,63.0,100
