model_name,score,rank
gemini-3-pro,1505.0,1
Anthropicclaude-opus-4-5-20251101-thinking-32k,1502.0,2
Anthropicclaude-opus-4-5-20251101,1493.0,3
grok-4.1-thinking,1490.0,4
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1485.0,5
Anthropicclaude-opus-4-1-20250805-thinking-16k,1479.0,6
grok-4.1,1477.0,7
Anthropicclaude-sonnet-4-5-20250929,1474.0,8
gpt-5.1-high,1473.0,9
Anthropicclaude-opus-4-1-20250805,1471.0,10
gemini-2.5-pro,1463.0,11
qwen3-max-preview,1457.0,12
gpt-5.1,1456.0,13
Anthropicclaude-opus-4-20250514-thinking-16k,1452.0,14
chatgpt-4o-latest-20250326,1451.0,15
qwen3-235b-a22b-instruct-2507,1449.0,16
MoonshotAIkimi-k2-thinking-turbo,1449.0,16
gpt-5-high,1448.0,18
gpt-5-chat,1446.0,19
deepseek-v3.2-exp,1446.0,19
qwen3-max-2025-09-23,1446.0,19
deepseek-v3.2,1443.0,22
deepseek-v3.2-exp-thinking,1442.0,23
glm-4.6,1442.0,23
deepseek-v3.1-terminus-thinking,1441.0,25
mistral-large-3,1440.0,26
o3-2025-04-16,1440.0,26
qwen3-vl-235b-a22b-instruct,1439.0,28
deepseek-v3.2-thinking,1438.0,29
grok-4-1-fast-reasoning,1438.0,29
gpt-4.5-preview-2025-02-27,1437.0,31
ernie-5.0-preview-1103,1436.0,32
deepseek-v3.1-thinking,1435.0,33
MoonshotAIkimi-k2-0905-preview,1434.0,34
Anthropicclaude-haiku-4-5-20251001,1434.0,34
Anthropicclaude-opus-4-20250514,1433.0,36
deepseek-r1-0528,1432.0,37
glm-4.5,1431.0,38
deepseek-v3.1,1431.0,38
mistral-medium-2508,1430.0,40
MoonshotAIkimi-k2-0711-preview,1430.0,40
grok-4-fast-chat,1430.0,40
Anthropicclaude-sonnet-4-20250514-thinking-32k,1429.0,43
gpt-4.1-2025-04-14,1428.0,44
longcat-flash-chat,1425.0,45
grok-3-preview-02-24,1423.0,46
deepseek-v3.1-terminus,1422.0,47
qwen3-next-80b-a3b-instruct,1421.0,48
gemini-2.5-flash-preview-09-2025,1418.0,49
grok-4-0709,1417.0,50
qwen3-235b-a22b-thinking-2507,1417.0,50
qwen3-235b-a22b-no-thinking,1417.0,50
qwen3-vl-235b-a22b-thinking,1416.0,53
deepseek-r1,1415.0,54
o1-2024-12-17,1415.0,54
Anthropicclaude-sonnet-4-20250514,1415.0,54
Tencenthunyuan-vision-1.5-thinking,1415.0,54
gemini-2.5-flash,1415.0,54
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1414.0,59
mimo-v2-flash (non-thinking),1414.0,59
qwen3-coder-480b-a35b-instruct,1412.0,61
grok-4-fast-reasoning,1410.0,62
qwen3-30b-a3b-instruct-2507,1406.0,63
gpt-5-mini-high,1404.0,64
deepseek-v3-0324,1404.0,64
o4-mini-2025-04-16,1404.0,64
mai-1-preview,1402.0,67
gpt-4.1-mini-2025-04-14,1399.0,68
o3-mini-high,1398.0,69
Tencenthunyuan-t1-20250711,1397.0,70
mistral-medium-2505,1397.0,70
Anthropicclaude-3-5-sonnet-20241022,1396.0,72
Anthropicclaude-3-7-sonnet-20250219,1395.0,73
o1-preview,1394.0,74
qwen3-235b-a22b,1390.0,75
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1389.0,76
glm-4.5-air,1389.0,76
Tencenthunyuan-turbos-20250416,1388.0,78
qwen3-next-80b-a3b-thinking,1383.0,79
qwen2.5-max,1382.0,80
Minimaxminimax-m1,1382.0,80
gemini-2.5-flash-lite-preview-06-17-thinking,1381.0,82
Stepfunstep-3,1376.0,83
grok-3-mini-high,1375.0,84
mistral-small-2506,1371.0,85
intellect-3,1371.0,85
Nvidiallama-3.1-nemotron-ultra-253b-v1,1371.0,85
glm-4.5v,1370.0,88
amazon-nova-experimental-chat-10-20,1370.0,88
