model_name,score,rank
GPT-5.2 (xhigh),44.0,1
Claude Opus 4.5,44.0,1
GPT-5.1 (high),43.0,3
Gemini 3 Pro Preview (high),39.0,4
Grok 4,38.0,5
Claude Opus 4.5,38.0,5
Gemini 3 Flash,36.0,7
GPT-5 Codex (high),36.0,7
GPT-5 (medium),36.0,7
o3,35.0,10
GPT-5.1 Codex (high),33.0,11
DeepSeek V3.2,33.0,11
Claude 4.5 Sonnet,33.0,11
DeepSeek V3.2 Speciale,33.0,11
Gemini 3 Pro Preview (low),32.0,15
Claude 4.1 Opus,32.0,15
GPT-5 (high),31.0,17
GPT-5 mini (high),31.0,17
GPT-5.1 Codex mini (high),31.0,17
DeepSeek V3.2,31.0,17
GLM-4.7,30.0,21
Claude 4 Sonnet,30.0,21
Gemini 3 Flash,30.0,21
GPT-5.2,30.0,21
DeepSeek V3.1 Terminus,30.0,21
Kimi K2 Thinking,29.0,26
DeepSeek V3.2 Exp,29.0,26
Claude 4 Opus,29.0,26
DeepSeek V3.1 Terminus,28.0,29
GLM-4.7,28.0,29
MiniMax-M2.1,27.0,31
GPT-5 mini (medium),27.0,31
Claude 4.5 Sonnet,27.0,31
GLM-4.6,27.0,31
MiMo-V2-Flash,26.0,35
Claude 4.5 Haiku,26.0,35
Claude 4 Sonnet,26.0,35
Claude 4.5 Haiku,26.0,35
GPT-5 (low),25.0,39
Gemini 2.5 Pro,25.0,39
Doubao Seed Code,25.0,39
MiniMax-M2,24.0,42
DeepSeek V3.1,24.0,42
MiMo-V2-Flash,24.0,42
Grok 4.1 Fast,23.0,45
Nova 2.0 Pro Preview (medium),23.0,45
GLM-4.6,23.0,45
ERNIE 5.0 Thinking Preview,23.0,45
Kimi K2 0905,23.0,45
DeepSeek V3.2 Exp,23.0,45
DeepSeek V3.1,23.0,45
gpt-oss-120B (high),22.0,52
GLM-4.5,21.0,53
GPT-5.1,21.0,53
Claude 3.7 Sonnet,20.0,55
Claude 3.7 Sonnet,20.0,55
Qwen3 Max,19.0,57
GLM-4.5-Air,19.0,57
Grok 4 Fast,18.0,59
Qwen3 Max (Preview),18.0,59
GPT-5 (minimal),18.0,59
Qwen3 Coder 480B,18.0,59
Devstral 2,18.0,59
Nova 2.0 Lite (medium),16.0,64
Nova 2.0 Pro Preview (low),16.0,64
Grok 3 mini Reasoning (high),16.0,64
Qwen3 Max Thinking,16.0,64
Gemini 2.5 Flash (Sep),16.0,64
GPT-5 nano (medium),16.0,64
Grok Code Fast 1,16.0,64
Nova 2.0 Pro Preview,16.0,64
Devstral Small 2,16.0,64
Cogito v2.1,16.0,64
DeepSeek R1 0528,15.0,74
Kimi K2,15.0,74
Mistral Large 3,15.0,74
o4-mini (high),14.0,77
Apriel-v1.6-15B-Thinker,14.0,77
Gemini 2.5 Flash (Sep),14.0,77
