model_name,score,rank
Claude Opus 4.5,57.8,1
Gemini 3 Pro,54.2,2
GPT-5.2,54.0,3
GPT-5.1,47.6,4
GPT-5-Codex,43.4,5
Claude Sonnet 4.5,42.8,6
Claude Opus 4.1,38.0,7
GPT-5.1-Codex,36.9,8
Kimi K2 Thinking,35.7,9
GPT-5,35.2,10
Gemini 2.5 Pro,32.6,11
MiniMax M2,30.0,12
Claude Haiku 4.5,28.3,13
Kimi K2 Instruct,27.8,14
GLM 4.6,24.5,15
GPT-5-Mini,24.0,16
Qwen 3 Coder 480B,23.9,17
Grok 4,23.1,18
GPT-OSS-120B,18.7,19
Gemini 2.5 Flash,16.9,20
Grok Code Fast 1,14.2,21
GPT-5-Nano,7.9,22
GPT-OSS-20B,3.1,23
