model_name,score,rank
gemini-3-pro,1480.0,1
gpt-5.1-high,1474.0,2
Anthropicclaude-opus-4-5-20251101,1466.0,3
Anthropicclaude-opus-4-5-20251101-thinking-32k,1466.0,3
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1464.0,5
grok-4.1-thinking,1456.0,6
o3-2025-04-16,1455.0,7
gemini-2.5-pro,1453.0,8
Anthropicclaude-opus-4-1-20250805-thinking-16k,1448.0,9
qwen3-max-preview,1442.0,10
gpt-5-high,1438.0,11
grok-4-0709,1437.0,12
qwen3-max-2025-09-23,1436.0,13
Anthropicclaude-opus-4-1-20250805,1434.0,14
MoonshotAIkimi-k2-thinking-turbo,1432.0,15
grok-4.1,1430.0,16
Anthropicclaude-sonnet-4-5-20250929,1429.0,17
qwen3-235b-a22b-instruct-2507,1429.0,17
longcat-flash-chat,1428.0,19
glm-4.6,1428.0,19
deepseek-v3.2-exp-thinking,1428.0,19
qwen3-next-80b-a3b-instruct,1426.0,22
grok-4-fast-chat,1426.0,22
deepseek-v3.2,1425.0,24
deepseek-v3.2-thinking,1425.0,24
deepseek-v3.1-thinking,1422.0,26
gemini-2.5-flash-preview-09-2025,1422.0,26
mistral-large-3,1422.0,26
Anthropicclaude-opus-4-20250514-thinking-16k,1421.0,29
glm-4.5,1420.0,30
o4-mini-2025-04-16,1419.0,31
deepseek-v3.2-exp,1419.0,31
deepseek-v3.1,1418.0,33
gpt-5.1,1418.0,33
MoonshotAIkimi-k2-0905-preview,1417.0,35
deepseek-v3.1-terminus-thinking,1415.0,36
ernie-5.0-preview-1103,1415.0,36
gpt-5-chat,1415.0,36
qwen3-vl-235b-a22b-thinking,1414.0,39
gpt-5-mini-high,1414.0,39
gpt-4.5-preview-2025-02-27,1413.0,41
gemini-2.5-flash,1413.0,41
qwen3-vl-235b-a22b-instruct,1413.0,41
deepseek-r1,1413.0,41
grok-4-fast-reasoning,1412.0,45
o1-2024-12-17,1410.0,46
o3-mini-high,1409.0,47
grok-4-1-fast-reasoning,1406.0,48
Anthropicclaude-sonnet-4-20250514-thinking-32k,1406.0,48
qwen3-32b,1403.0,50
Tencenthunyuan-t1-20250711,1403.0,50
qwen3-235b-a22b-thinking-2507,1403.0,50
chatgpt-4o-latest-20250326,1403.0,50
