model_name,score,rank
o3-mini,93.89999999999999,1
Claude 3.7 Sonnet,93.2,2
Nova Pro,92.10000000000001,3
Llama 3.3 70B Instruct,92.10000000000001,3
Gemma 3 27B,90.4,5
Nemotron Nano 9B v2,90.3,6
Gemma 3 4B,90.2,7
Kimi K2 Instruct,89.8,8
Kimi K2-Instruct-0905,89.8,8
Nova Lite,89.7,10
Llama 3.1 Nemotron Ultra 253B v1,89.4,11
Gemma 3 12B,88.9,12
Qwen3-Next-80B-A3B-Thinking,88.9,12
Qwen3-235B-A22B-Instruct-2507,88.7,14
Llama 3.1 405B Instruct,88.6,15
GPT-4.5,88.2,16
Qwen3 VL 235B A22B Thinking,88.2,16
Qwen3 VL 235B A22B Instruct,87.8,18
Qwen3-235B-A22B-Thinking-2507,87.8,18
Qwen3 VL 32B Thinking,87.8,18
Qwen3-Next-80B-A3B-Instruct,87.6,21
Llama 3.1 70B Instruct,87.5,22
GPT-4.1,87.4,23
Kimi-k1.5,87.2,24
Nova Micro,87.2,24
DeepSeek-V3,86.1,26
Qwen3 VL 30B A3B Instruct,85.8,27
Phi 4 Reasoning PlusMicrosoft,84.89999999999999,28
Qwen3 VL 32B Instruct,84.7,29
GPT-4.1 mini,84.1,30
Qwen2.5 72B Instruct,84.1,30
QwQ-32B,83.89999999999999,32
Qwen3 VL 8B Instruct,83.7,33
Phi 4 ReasoningMicrosoft,83.39999999999999,34
Qwen3 VL 8B Thinking,83.2,35
Mistral Small 3 24B Instruct,82.89999999999999,36
Qwen3 VL 4B Thinking,82.6,37
Qwen3 VL 4B Instruct,82.3,38
Qwen3 VL 30B A3B Thinking,81.69999999999999,39
GPT-4o,81.0,40
Llama 3.1 8B Instruct,80.4,41
Gemma 3 1B,80.2,42
Llama 3.1 Nemotron Nano 8B V1,79.3,43
Llama 3.2 3B Instruct,77.4,44
Granite 3.3 8B Base,74.8,45
Granite 3.3 8B Instruct,74.8,45
GPT-4.1 nano,74.5,47
Qwen2.5 7B Instruct,71.2,48
Phi 4Microsoft,63.0,49
IBM Granite 4.0 Tiny Preview,63.0,49
