model_name,score,rank
Gemini 3 Pro Preview (high),37.0,1
Gemini 3 Flash,35.0,2
KAT-Coder-Pro V1,33.0,3
GPT-5.2 (xhigh),31.0,4
Claude Opus 4.5,28.0,5
Gemini 3 Pro Preview (low),28.0,5
GPT-5.1 (high),27.0,7
GPT-5 (high),27.0,7
GPT-5 Codex (high),26.0,9
DeepSeek V3.2 Speciale,26.0,9
GLM-4.7,25.0,11
GPT-5 (medium),24.0,12
Grok 4,24.0,12
GPT-5.1 Codex (high),23.0,14
Kimi K2 Thinking,22.0,15
DeepSeek V3.2,22.0,15
MiniMax-M2.1,22.0,15
MiMo-V2-Flash,21.0,18
Gemini 2.5 Pro,21.0,18
o3,20.0,20
GPT-5 mini (high),20.0,20
gpt-oss-120B (high),19.0,22
Grok 4.1 Fast,18.0,23
GPT-5 (low),18.0,23
o4-mini (high),18.0,23
Claude 4.5 Sonnet,17.0,26
GPT-5.1 Codex mini (high),17.0,26
Grok 4 Fast,17.0,26
Gemini 2.5 Pro (Mar),17.0,26
GPT-5 mini (medium),15.0,30
DeepSeek V3.1 Terminus,15.0,30
Qwen3 235B A22B 2507,15.0,30
Gemini 2.5 Pro (May),15.0,30
DeepSeek R1 0528,15.0,30
DeepSeek V3.2 Exp,14.0,35
Gemini 3 Flash,14.0,35
MiniMax-M2,13.0,37
Claude Opus 4.5,13.0,37
Doubao Seed Code,13.0,37
GLM-4.6,13.0,37
Gemini 2.5 Flash (Sep),13.0,37
DeepSeek V3.1,13.0,37
ERNIE 5.0 Thinking Preview,13.0,37
Claude 4.1 Opus,12.0,44
Qwen3 Max Thinking,12.0,44
Qwen3 Next 80B A3B,12.0,44
Claude 4 Opus,12.0,44
Apriel-v1.5-15B-Thinker,12.0,44
GLM-4.5,12.0,44
o3-mini (high),12.0,44
Gemini 2.5 Flash,12.0,44
Qwen3 235B,12.0,44
Grok 3 mini Reasoning (high),11.0,53
Qwen3 Max,11.0,53
DeepSeek V3.2,11.0,53
Gemini 2.5 Flash,11.0,53
Qwen3 235B 2507,11.0,53
EXAONE 4.0 32B,11.0,53
Cogito v2.1,11.0,53
Apriel-v1.6-15B-Thinker,10.0,60
Claude 4 Sonnet,10.0,60
Claude 4.5 Haiku,10.0,60
Qwen3 VL 235B A22B,10.0,60
gpt-oss-20B (high),10.0,60
Magistral Medium 1.2,10.0,60
Qwen3 VL 32B,10.0,60
NVIDIA Nemotron 3 Nano,10.0,60
Claude 3.7 Sonnet,10.0,60
Qwen3 30B A3B 2507,10.0,60
K2-V2 (high),10.0,60
Ring-1T,10.0,60
Hermes 4 405B,10.0,60
Magistral Medium 1,10.0,60
Nova 2.0 Pro Preview (medium),9.0,74
Nova 2.0 Lite (medium),9.0,74
Seed-OSS-36B-Instruct,9.0,74
Qwen3 Max (Preview),9.0,74
o3-mini,9.0,74
DeepSeek V3.2 Exp,9.0,74
Qwen3 VL 30B A3B,9.0,74
DeepSeek R1 (Jan),9.0,74
Mi:dm K 2.5 Pro Preview,9.0,74
GLM-4.6V,9.0,74
Ring-flash-2.0,9.0,74
GPT-5 nano (high),8.0,85
GPT-5 nano (medium),8.0,85
Grok Code Fast 1,8.0,85
o1,8.0,85
Gemini 2.5 Flash (Sep),8.0,85
