model_name,score,rank
🆕  Claude 4.5 Opus medium (20251101),74.4,1
🆕  Gemini 3 Pro Preview (2025-11-18),74.2,2
🆕  GPT-5.2 (2025-12-11) (high reasoning),71.8,3
Claude 4.5 Sonnet (20250929),70.6,4
🆕  GPT-5.2 (2025-12-11),69.0,5
Claude 4 Opus (20250514),67.6,6
🆕  GPT-5.1-codex (medium reasoning),66.0,7
🆕  GPT-5.1 (2025-11-13) (medium reasoning),66.0,7
GPT-5 (2025-08-07) (medium reasoning),65.0,9
Claude 4 Sonnet (20250514),64.93,10
🆕  Kimi K2 Thinking,63.4,11
🆕  Minimax M2,61.0,12
🆕  DeepSeek V3.2 Reasoner,60.0,13
GPT-5 mini (2025-08-07) (medium reasoning),59.8,14
o3 (2025-04-16),58.4,15
🆕  Devstral small (2512),56.4,16
Qwen3-Coder 480B/A35B Instruct,55.4,17
🆕  GLM-4.6 (T=1),55.4,17
GLM-4.5 (2025-08-22),54.2,19
🆕  Devstral (2512),53.8,20
Gemini 2.5 Pro (2025-05-06),53.6,21
Claude 3.7 Sonnet (20250219),52.8,22
o4-mini (2025-04-16),45.0,23
Kimi K2 Instruct,43.8,24
GPT-4.1 (2025-04-14),39.58,25
GPT-5 nano (2025-08-07) (medium reasoning),34.8,26
Gemini 2.5 Flash (2025-04-17),28.73,27
gpt-oss-120b,26.0,28
GPT-4.1-mini (2025-04-14),23.94,29
GPT-4o (2024-11-20),21.62,30
Llama 4 Maverick Instruct,21.04,31
Gemini 2.0 flash,13.52,32
Llama 4 Scout Instruct,9.06,33
Qwen2.5-Coder 32B Instruct,9.0,34
