model_name,score,rank
gpt-5 (high),88.0,1
gpt-5 (medium),86.7,2
o3-pro (high),84.9,3
gemini-2.5-pro-preview-06-05 (32k think),83.1,4
gpt-5 (low),81.3,5
o3 (high),81.3,5
grok-4 (high),79.6,7
gemini-2.5-pro-preview-06-05 (default think),79.1,8
o3 (high) + gpt-4.1,78.2,9
o3,76.9,10
Gemini 2.5 Pro Preview 05-06,76.9,10
DeepSeek-V3.2-Exp (Reasoner),74.2,12
Gemini 2.5 Pro Preview 03-25,72.9,13
claude-opus-4-20250514 (32k thinking),72.0,14
o4-mini (high),72.0,14
DeepSeek R1 (0528),71.4,16
claude-opus-4-20250514 (no think),70.7,17
DeepSeek-V3.2-Exp (Chat),70.2,18
claude-3-7-sonnet-20250219 (32k thinking tokens),64.9,19
DeepSeek R1 + claude-3-5-sonnet-20241022,64.0,20
o1-2024-12-17 (high),61.7,21
claude-sonnet-4-20250514 (32k thinking),61.3,22
claude-3-7-sonnet-20250219 (no thinking),60.4,23
o3-mini (high),60.4,23
"Qwen3 235B A22B diff, no think, Alibaba API",59.6,25
Kimi K2,59.1,26
DeepSeek R1,56.9,27
claude-sonnet-4-20250514 (no thinking),56.4,28
gemini-2.5-flash-preview-05-20 (24k think),55.1,29
DeepSeek V3 (0324),55.1,29
Quasar Alpha,54.7,31
o3-mini (medium),53.8,32
Grok 3 Beta,53.3,33
Optimus Alpha,52.9,34
gpt-4.1,52.4,35
claude-3-5-sonnet-20241022,51.6,36
Grok 3 Mini Beta (high),49.3,37
DeepSeek Chat V3 (prev),48.4,38
gemini-2.5-flash-preview-04-17 (default),47.1,39
chatgpt-4o-latest (2025-03-29),45.3,40
gpt-4.5-preview,44.9,41
gemini-2.5-flash-preview-05-20 (no think),44.0,42
gpt-oss-120b (high),41.8,43
Qwen3 32B,40.0,44
gemini-exp-1206,38.2,45
Gemini 2.0 Pro exp-02-05,35.6,46
Grok 3 Mini Beta (low),34.7,47
o1-mini-2024-09-12,32.9,48
gpt-4.1-mini,32.4,49
claude-3-5-haiku-20241022,28.0,50
chatgpt-4o-latest (2025-02-15),27.1,51
QwQ-32B + Qwen 2.5 Coder Instruct,26.2,52
gpt-4o-2024-08-06,23.1,53
gemini-2.0-flash-exp,22.2,54
qwen-max-2025-01-25,21.8,55
QwQ-32B,20.9,56
gemini-2.0-flash-thinking-exp-01-21,18.2,57
gpt-4o-2024-11-20,18.2,57
DeepSeek Chat V2.5,17.8,59
Qwen2.5-Coder-32B-Instruct,16.4,60
Llama 4 Maverick,15.6,61
yi-lightning,12.9,62
command-a-03-2025-quality,12.0,63
Codestral 25.01,11.1,64
openhands-lm-32b-v0.1,10.2,65
gpt-4.1-nano,8.9,66
Qwen2.5-Coder-32B-Instruct,8.0,67
gemma-3-27b-it,4.9,68
gpt-4o-mini-2024-07-18,3.6,69
