model_name,score,rank
anthropic/claude-opus-4-5-20251101-thinking,95.2,1
anthropic/claude-opus-4-5-20251101,94.7636,2
anthropic/claude-opus-4-1-20250805-thinking,94.4364,3
anthropic/claude-sonnet-4-5-20250929-thinking,94.3273,4
anthropic/claude-opus-4-1-20250805,94.2182,5
openai/gpt-5.2-2025-12-11,94.0,6
google/gemini-3-pro-preview,93.9273,7
anthropic/claude-opus-4-20250514,93.7818,8
openai/o4-mini-2025-04-16,93.4182,9
google/gemini-3-flash-preview,93.3091,10
anthropic/claude-sonnet-4-20250514,93.0182,11
anthropic/claude-3-7-sonnet-20250219-thinking,92.9818,12
openai/gpt-5.1-2025-11-13,92.9818,12
openai/gpt-5-2025-08-07,92.8364,14
openai/gpt-5-mini-2025-08-07,92.5818,15
anthropic/claude-3-5-sonnet-20241022,92.5818,15
fireworks/qwen3-235b-a22b,92.4727,17
fireworks/llama4-maverick-instruct-basic,92.4364,18
anthropic/claude-3-7-sonnet-20250219,92.4,19
fireworks/deepseek-r1,92.2545,20
alibaba/qwen3-max-preview,92.1455,21
fireworks/deepseek-v3,92.1455,21
anthropic/claude-haiku-4-5-20251001-thinking,92.1455,21
fireworks/gpt-oss-120b,92.0364,24
alibaba/qwen3-max,91.8182,25
openai/o3-2025-04-16,91.7455,26
fireworks/deepseek-v3-0324,91.6727,27
openai/o3-mini-2025-01-31,91.3455,28
grok/grok-3,91.3455,28
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,91.0909,30
together/moonshotai/Kimi-K2-Instruct,90.9455,31
grok/grok-4-0709,90.9091,32
anthropic/claude-sonnet-4-20250514-thinking,90.8727,33
fireworks/deepseek-v3p2,90.8727,33
mistralai/mistral-medium-2505,90.8727,33
grok/grok-4-fast-reasoning,90.8727,33
zai/glm-4.5,90.8364,37
openai/gpt-4o-2024-08-06,90.6909,38
grok/grok-3-mini-fast-high-reasoning,90.4364,39
grok/grok-3-mini-fast-low-reasoning,90.3636,40
openai/gpt-4o-2024-11-20,90.3636,40
kimi/kimi-k2-thinking,90.1455,42
google/gemini-2.5-flash-preview-09-2025,89.8545,43
google/gemini-2.5-flash-preview-09-2025-thinking,89.8182,44
zai/glm-4.6,89.7455,45
grok/grok-4-1-fast-reasoning,89.5273,46
google/gemini-2.5-flash-lite-preview-09-2025,89.5273,46
openai/gpt-5-nano-2025-08-07,89.3091,48
openai/o1-2024-12-17,89.3091,48
google/gemini-1.5-pro-002,89.2,50
fireworks/gpt-oss-20b,89.0182,51
google/gemini-2.0-flash-001,89.0182,51
google/gemini-2.5-flash-lite-preview-09-2025-thinking,88.4,53
zai/glm-4.7,88.1818,54
grok/grok-4-fast-non-reasoning,88.0,55
together/meta-llama/Llama-4-Scout-17B-16E-Instruct,87.9636,56
minimax/MiniMax-M2.1,87.7818,57
openai/gpt-4.1-mini-2025-04-14,87.7818,57
openai/gpt-4.1-2025-04-14,87.6727,59
grok/grok-4-1-fast-non-reasoning,87.5636,60
mistralai/mistral-large-2411,87.2364,61
google/gemini-1.5-flash-002,86.5818,62
mistralai/magistral-small-2509,86.2545,63
openai/gpt-4o-mini-2024-07-18,86.1818,64
grok/grok-2-1212,86.1455,65
fireworks/deepseek-v3p2-thinking,86.0364,66
cohere/command-a-03-2025,85.7091,67
mistralai/mistral-large-2512,85.4182,68
anthropic/claude-3-5-haiku-20241022,84.6182,69
mistralai/mistral-small-2503,84.2182,70
mistralai/mistral-small-2402,83.9636,71
mistralai/magistral-medium-2509,74.6182,72
ai21labs/jamba-large-1.6,71.2364,73
openai/gpt-4.1-nano-2025-04-14,69.2727,74
ai21labs/jamba-mini-1.6,41.7091,75
