model_name,score,rank
Gemini 3 Pro Preview,18.8,1
GPT-5.2 (xhigh),16.7,2
GPT-5.2 (high),14.6,3
GPT-5.2 (medium),14.6,3
GPT-5.1 (high),12.5,5
GPT-5 (high),12.5,5
GPT-5 Pro,12.5,5
Gemini 2.5 Deep Think,10.4,8
GPT-5.2 (low),6.3,9
GPT-5 mini (high),6.3,9
GPT-5 (medium),6.3,9
o4-mini (high),6.3,9
Gemini 2.5 Flash (Jun 2025),4.2,13
Gemini 3 Flash,4.2,13
Claude Opus 4.5 (no thinking),4.2,13
Claude Opus 4.5 (32k thinking),4.2,13
GPT-5.1 (medium),4.2,13
Claude Sonnet 4.5 (32k thinking),4.2,13
GPT-5 mini (medium),4.2,13
Claude Opus 4.1 (27K thinking),4.2,13
Gemini 2.5 Pro (Jun 2025),4.2,13
o3-mini (high),4.2,13
Claude Opus 4 (27K thinking),4.2,13
GLM 4.6,2.1,24
DeepSeek-V3.2,2.1,24
Claude Opus 4.5 (16k thinking),2.1,24
Claude Haiku 4.5 (32K thinking),2.1,24
Claude Sonnet 4.5 (no thinking),2.1,24
Grok 4,2.1,24
o4-mini (medium),2.1,24
GPT-5 nano (medium),2.1,24
Gemini 2.5 Pro (Preview),2.1,24
o3 (high),2.1,24
Qwen3-235B-A22B-Thinking-2507,0.0,34
Kimi K2 Thinking,0.0,34
GPT-5 nano (high),0.0,34
GPT-4.1,0.0,34
Claude Opus 4,0.0,34
Claude 3.5 Sonnet (Jun 2024),0.0,34
Claude 3.5 Sonnet (Oct 2024),0.0,34
Grok 3,0.0,34
Claude Sonnet 4,0.0,34
