model_name,score,rank
gemini-3-pro,1489.0,1
Anthropicclaude-opus-4-5-20251101,1458.0,2
gemini-2.5-pro,1452.0,3
Anthropicclaude-opus-4-5-20251101-thinking-32k,1451.0,4
Anthropicclaude-opus-4-1-20250805-thinking-16k,1441.0,5
Anthropicclaude-sonnet-4-5-20250929,1441.0,5
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1438.0,7
grok-4.1-thinking,1436.0,8
gpt-5.1-high,1435.0,9
Anthropicclaude-opus-4-1-20250805,1434.0,10
gpt-4.5-preview-2025-02-27,1434.0,10
grok-4.1,1427.0,12
Anthropicclaude-opus-4-20250514-thinking-16k,1421.0,13
chatgpt-4o-latest-20250326,1418.0,14
Anthropicclaude-opus-4-20250514,1412.0,15
gpt-5.1,1408.0,16
deepseek-v3.2-thinking,1408.0,16
grok-4-1-fast-reasoning,1408.0,16
ernie-5.0-preview-1103,1407.0,19
deepseek-v3.1-terminus,1405.0,20
deepseek-v3.1-thinking,1404.0,21
deepseek-v3.2-exp,1401.0,22
glm-4.6,1400.0,23
gpt-4.1-2025-04-14,1399.0,24
MoonshotAIkimi-k2-thinking-turbo,1398.0,25
gemini-2.5-flash,1398.0,25
grok-3-preview-02-24,1398.0,25
qwen3-max-preview,1396.0,28
qwen3-max-2025-09-23,1395.0,29
deepseek-v3.2,1395.0,29
grok-4-0709,1395.0,29
deepseek-v3.2-exp-thinking,1394.0,32
deepseek-v3.1,1393.0,33
Anthropicclaude-sonnet-4-20250514-thinking-32k,1392.0,34
deepseek-v3-0324,1389.0,35
deepseek-r1-0528,1389.0,35
gpt-5-chat,1388.0,37
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1388.0,37
o3-2025-04-16,1383.0,39
grok-4-fast-chat,1382.0,40
gemini-2.5-flash-preview-09-2025,1382.0,40
MoonshotAIkimi-k2-0905-preview,1381.0,42
gpt-5-high,1381.0,42
Anthropicclaude-sonnet-4-20250514,1380.0,44
o1-2024-12-17,1380.0,44
qwen3-235b-a22b-instruct-2507,1379.0,46
mistral-medium-2508,1379.0,46
deepseek-v3.1-terminus-thinking,1377.0,48
grok-4-fast-reasoning,1377.0,48
Tencenthunyuan-t1-20250711,1377.0,48
Anthropicclaude-haiku-4-5-20251001,1376.0,51
glm-4.5,1375.0,52
Anthropicclaude-3-7-sonnet-20250219,1373.0,53
deepseek-r1,1373.0,53
MoonshotAIkimi-k2-0711-preview,1371.0,55
gemini-2.5-flash-lite-preview-06-17-thinking,1370.0,56
qwen3-235b-a22b-thinking-2507,1370.0,56
mistral-large-3,1368.0,58
Anthropicclaude-3-5-sonnet-20241022,1368.0,58
qwen3-235b-a22b-no-thinking,1366.0,60
Tencenthunyuan-vision-1.5-thinking,1365.0,61
o1-preview,1364.0,62
qwen3-vl-235b-a22b-instruct,1363.0,63
Tencenthunyuan-turbos-20250416,1363.0,63
qwen3-coder-480b-a35b-instruct,1362.0,65
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1360.0,66
mistral-medium-2505,1360.0,66
mai-1-preview,1359.0,68
gemini-1.5-pro-002,1358.0,69
qwen2.5-max,1353.0,70
mimo-v2-flash (non-thinking),1352.0,71
deepseek-v3,1348.0,72
gemma-3-27b-it,1347.0,73
gemini-2.0-flash-001,1346.0,74
gpt-4.1-mini-2025-04-14,1345.0,75
gemini-2.0-flash-lite-preview-02-05,1344.0,76
qwen3-vl-235b-a22b-thinking,1342.0,77
gemini-advanced-0514,1342.0,77
o4-mini-2025-04-16,1339.0,79
grok-3-mini-beta,1336.0,80
gpt-4o-2024-05-13,1336.0,80
Stepfunstep-2-16k-exp-202412,1335.0,82
Coherecommand-a-03-2025,1334.0,83
Nvidiallama-3.1-nemotron-ultra-253b-v1,1332.0,84
longcat-flash-chat,1332.0,84
gemma-3-12b-it,1331.0,86
grok-3-mini-high,1331.0,86
gpt-5-mini-high,1329.0,88
qwen3-235b-a22b,1329.0,88
glm-4.5-air,1327.0,90
gpt-4o-2024-08-06,1324.0,91
qwen3-30b-a3b-instruct-2507,1324.0,91
mistral-small-2506,1323.0,93
Minimaxminimax-m1,1322.0,94
qwen3-next-80b-a3b-thinking,1321.0,95
qwen3-next-80b-a3b-instruct,1318.0,96
glm-4-plus-0111,1318.0,96
grok-2-2024-08-13,1316.0,98
qwen-plus-0125,1315.0,99
o3-mini-high,1310.0,100
glm-4.5v,1308.0,101
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1306.0,102
Stepfunstep-3,1305.0,103
intellect-3,1304.0,104
qwen3-32b,1304.0,104
Metallama-3.1-405b-instruct-fp8,1304.0,104
Anthropicclaude-3-5-sonnet-20240620,1302.0,107
o3-mini,1302.0,107
Tencenthunyuan-turbos-20250226,1301.0,109
Metallama-3.1-405b-instruct-bf16,1301.0,109
Tencenthunyuan-turbo-0110,1300.0,111
amazon-nova-experimental-chat-10-09,1296.0,112
qwq-32b,1294.0,113
Minimaxminimax-m2,1288.0,114
gpt-oss-120b,1282.0,115
amazon-nova-experimental-chat-10-20,1280.0,116
o1-mini,1280.0,116
ling-flash-2.0,1272.0,118
nova-2-lite,1268.0,119
gpt-5-nano-high,1253.0,120
