model_name,score,rank
🆕 claude-opus-4-5-20251101,1642.8,1
Kimi-K2-Instruct,1641.4,2
🆕 gpt-5.2,1637.2,3
o3,1613.8,4
claude-sonnet-4.5,1609.8,5
Kimi-K2-Thinking,1577.4,6
horizon-alpha,1573.9,7
horizon-beta,1562.2,8
claude-opus-4,1530.4,9
gpt-5-2025-08-07,1525.6,10
DeepSeek-R1,1500.0,11
🆕 DeepSeek-V3.2,1491.5,12
chatgpt-4o-latest-2025-03-27,1473.2,13
claude-sonnet-4,1430.3,14
gemini-3-pro-preview,1426.8,15
claude-3-5-sonnet-20241022,1381.3,16
gpt-4.1,1377.3,17
DeepSeek-V3-0324,1371.0,18
optimus-alpha,1369.6,19
gemini-2.5-pro-preview-06-05,1368.4,20
mistral-medium-3.1,1368.3,21
DeepSeek-V3.1,1364.0,22
claude-3-7-sonnet-20250219,1362.6,23
DeepSeek-R1-0528,1356.5,24
gemini-2.5-pro-exp-03-25,1349.9,25
Hermes-4-405B,1349.7,26
🆕 Mistral-Large-3-675B-Instruct-2512,1332.3,27
GLM-4.6,1318.3,28
chatgpt-4o-latest-2025-01-29,1296.4,29
quasar-alpha,1288.4,30
🆕 mistral-small-creative,1284.3,31
grok-4.1-fast,1268.5,32
sherlock-dash-alpha,1253.6,33
qwen3-235b-a22b:thinking,1247.5,34
GLM-4.5,1235.9,35
gpt-5-mini-2025-08-07,1209.0,36
🆕 DeepSeek-V3.2-Speciale,1204.3,37
gemma-3-27b-it,1175.8,38
Mistral-Small-3.2-24B-Instruct-2506,1136.4,39
grok-3-beta,1128.0,40
gpt-4.5-preview,1125.1,41
reka-flash-3,1118.8,42
qwq-32b,1101.6,43
claude-3.5-haiku-20241022,1099.8,44
gemini-2.5-flash-preview,1095.2,45
gemma-3-4b-it,1073.2,46
gpt-4.1-mini,1069.7,47
c4ai-command-a-03-2025,1064.4,48
gemma-3-12b-it,1063.0,49
gemini-2.0-flash-001,1053.6,50
Gemma-3-Glitter-12B,1043.9,51
GLM-4-32B-0414,1003.5,52
mistral-large-2411,973.2,53
Darkest-muse-v1,966.4,54
Pixtral-Large-Instruct-2411,960.1,55
gpt-oss-120b,951.6,56
llama-3.1-405b-instruct,900.4,57
gpt-4.1-nano,899.9,58
🆕 Nanbeige4-3B-Thinking-2511,858.3,59
Gemma-3-Starshine-12B,857.5,60
Llama-4-Maverick-17B-128E-Instruct,824.0,61
gemma-2-Ifable-9B,823.1,62
gpt-4o-mini,807.4,63
Mistral-Nemo-Instruct-2407,805.7,64
model_name,800.0,65
gemma-2-9b-it,758.1,66
llama-3.1-70b-instruct,730.5,67
claude-3-haiku,717.0,68
cypher-alpha,705.2,69
mistral-small-3.1-24b-instruct-2503,688.4,70
Llama-4-Scout-17B-16E-Instruct,674.7,71
gpt-4-0314,645.4,72
Mistral-Small-24B-Instruct-2501,623.1,73
gpt-5-nano-2025-08-07,612.6,74
llama-3.1-8b-instruct,599.7,75
lfm-7b,585.1,76
gpt-oss-20b,582.9,77
llama-3.2-3b-instruct,509.9,78
gpt-3.5-turbo-0613,388.1,79
llama-3.2-1b-instruct,200.0,80
