model_name,score,rank
Claude Opus 4.5 Thinking,44.0,1
GPT-5.2 (xhigh),44.0,1
GPT-5.1 (high),43.0,3
Gemini 3 Pro Preview (high),39.0,4
Claude Opus 4.5 Non-Thinking,38.0,5
Grok 4,38.0,5
GPT-5 (medium),36.0,7
GPT-5 Codex (high),36.0,7
Gemini 3 Flash Thinking,36.0,7
o3,35.0,10
Claude 4.5 Sonnet Thinking,33.0,11
DeepSeek V3.2 Thinking,33.0,11
DeepSeek V3.2 Speciale,33.0,11
GPT-5.1 Codex (high),33.0,11
Claude 4.1 Opus Thinking,32.0,15
Gemini 3 Pro Preview (low),32.0,15
DeepSeek V3.2 Non-Thinking,31.0,17
GPT-5 (high),31.0,17
GPT-5 mini (high),31.0,17
GPT-5.1 Codex mini (high),31.0,17
Claude 4 Sonnet Thinking,30.0,21
DeepSeek V3.1 Terminus Non-Thinking,30.0,21
GLM-4.7 Thinking,30.0,21
GPT-5.2,30.0,21
Gemini 3 Flash Non-Thinking,30.0,21
Claude 4 Opus Thinking,29.0,26
DeepSeek V3.2 Exp Thinking,29.0,26
Kimi K2 Thinking,29.0,26
DeepSeek V3.1 Terminus Thinking,28.0,29
GLM-4.7 Non-Thinking,28.0,29
Claude 4.5 Sonnet Non-Thinking,27.0,31
GLM-4.6 Non-Thinking,27.0,31
GPT-5 mini (medium),27.0,31
MiniMax-M2.1,27.0,31
Claude 4 Sonnet Non-Thinking,26.0,35
Claude 4.5 Haiku Thinking,26.0,35
Claude 4.5 Haiku Non-Thinking,26.0,35
MiMo-V2-Flash Thinking,26.0,35
Doubao Seed Code,25.0,39
GPT-5 (low),25.0,39
Gemini 2.5 Pro,25.0,39
DeepSeek V3.1 Thinking,24.0,42
MiMo-V2-Flash Non-Thinking,24.0,42
MiniMax-M2,24.0,42
DeepSeek V3.1 Non-Thinking,23.0,45
DeepSeek V3.2 Exp Non-Thinking,23.0,45
ERNIE 5.0 Thinking Preview,23.0,45
GLM-4.6 Thinking,23.0,45
Grok 4.1 Fast Thinking,23.0,45
Kimi K2 0905,23.0,45
Nova 2.0 Pro Preview (medium),23.0,45
gpt-oss-120B (high),22.0,52
GLM-4.5,21.0,53
GPT-5.1,21.0,53
Claude 3.7 Sonnet Thinking,20.0,55
Claude 3.7 Sonnet Non-Thinking,20.0,55
GLM-4.5-Air,19.0,57
Qwen3 Max,19.0,57
Devstral 2,18.0,59
GPT-5 (minimal),18.0,59
Grok 4 Fast Thinking,18.0,59
Qwen3 Coder 480B,18.0,59
Qwen3 Max (Preview),18.0,59
Cogito v2.1,16.0,64
Devstral Small 2,16.0,64
GPT-5 nano (medium),16.0,64
Gemini 2.5 Flash (Sep) Thinking,16.0,64
Grok 3 mini Reasoning (high),16.0,64
Grok Code Fast 1,16.0,64
Nova 2.0 Lite (medium),16.0,64
Nova 2.0 Pro Preview,16.0,64
Nova 2.0 Pro Preview (low),16.0,64
Qwen3 Max Thinking,16.0,64
DeepSeek R1 0528,15.0,74
Kimi K2,15.0,74
Mistral Large 3,15.0,74
Apriel-v1.6-15B-Thinker,14.0,77
DeepSeek V3 0324,14.0,77
GLM-4.6V Thinking,14.0,77
GPT-5 mini (minimal),14.0,77
Gemini 2.5 Flash (Sep) Non-Thinking,14.0,77
Grok 4.1 Fast Non-Thinking,14.0,77
Qwen3 235B 2507,14.0,77
Qwen3 Coder 30B A3B,14.0,77
o4-mini (high),14.0,77
GPT-4.1,13.0,86
Gemini 2.5 Flash Thinking 2505,13.0,86
Magistral Medium 1.2,13.0,86
NVIDIA Nemotron 3 Nano Thinking,13.0,86
Qwen3 235B A22B 2507,13.0,86
GPT-5 (ChatGPT),12.0,91
Gemini 2.5 Flash-Lite (Sep) Thinking,12.0,91
o1,12.0,91
GPT-5 nano (high),11.0,94
Gemini 2.5 Flash Non-Thinking 2505,11.0,94
Grok 3,11.0,94
Grok 4 Fast Non-Thinking,11.0,94
Hermes 4 405B Thinking,11.0,94
HyperCLOVA X SEED Think (32B),11.0,94
Kimi Linear 48B A3B Instruct,11.0,94
NVIDIA Nemotron 3 Nano Non-Thinking,11.0,94
Qwen3 VL 235B A22B Thinking,11.0,94
Apriel-v1.5-15B-Thinker,10.0,103
Ling-1T,10.0,103
Ling-flash-2.0,10.0,103
Mistral Medium 3.1,10.0,103
gpt-oss-20B (high),10.0,103
Devstral Medium,9.0,108
Hermes 4 405B Non-Thinking,9.0,108
K2-V2 (high),9.0,108
KAT-Coder-Pro V1,9.0,108
Magistral Medium 1,9.0,108
Qwen3 Next 80B A3B Thinking,9.0,108
GPT-4o (Nov),8.0,114
K2-V2 (medium),8.0,114
Qwen3 VL 32B Non-Thinking,8.0,114
GPT-4.1 mini,7.0,117
Gemini 2.5 Flash-Lite (Sep) Non-Thinking,7.0,117
Mistral Small 3.1,7.0,117
Qwen3 Next 80B A3B Non-Thinking,7.0,117
Qwen3 VL 32B Thinking,7.0,117
Ring-flash-2.0,7.0,117
DeepSeek R1 (Jan),6.0,123
DeepSeek V3 (Dec),6.0,123
Devstral Small,6.0,123
ERNIE 4.5 300B A47B,6.0,123
GLM-4.5V Non-Thinking,6.0,123
GPT-5 nano (minimal),6.0,123
Llama 3.1 405B,6.0,123
Llama 4 Maverick,6.0,123
Mistral Large 2 (Nov),6.0,123
Mistral Small 3.2,6.0,123
Nova 2.0 Lite,6.0,123
Nova 2.0 Omni,6.0,123
Nova Premier,6.0,123
Nova Pro,6.0,123
Qwen3 235B Thinking,6.0,123
Qwen3 235B Non-Thinking,6.0,123
Qwen3 30B Non-Thinking,6.0,123
Qwen3 30B A3B 2507 Non-Thinking,6.0,123
Qwen3 VL 235B A22B Non-Thinking,6.0,123
Qwen3 VL 30B A3B Non-Thinking,6.0,123
Ring-1T,6.0,123
Seed-OSS-36B-Instruct,6.0,123
o3-mini,6.0,123
GLM-4.5V Thinking,5.0,146
Llama Nemotron Super 49B v1.5 Thinking,5.0,146
Qwen3 14B Non-Thinking,5.0,146
Qwen3 30B A3B 2507 Thinking,5.0,146
Qwen3 VL 30B A3B Thinking,5.0,146
gpt-oss-120B (low),5.0,146
EXAONE 4.0 32B Thinking,4.0,152
GPT-4.1 nano,4.0,152
Gemini 2.0 Flash,4.0,152
Gemini 2.5 Flash-Lite Thinking,4.0,152
Gemma 3 27B,4.0,152
Hermes 4 70B Thinking,4.0,152
K2-V2 (low),4.0,152
Llama 3.1 Nemotron 70B,4.0,152
Llama Nemotron Super 49B v1.5 Non-Thinking,4.0,152
Magistral Small 1,4.0,152
Magistral Small 1.2,4.0,152
Ministral 14B (Dec '25),4.0,152
Ministral 8B (Dec '25),4.0,152
Mistral Medium 3,4.0,152
Motif-2-12.7B,4.0,152
