model_name,score,rank
gemini-3-pro,1490.0,1
grok-4.1-thinking,1477.0,2
Anthropicclaude-opus-4-5-20251101-thinking-32k,1469.0,3
Anthropicclaude-opus-4-5-20251101,1467.0,4
grok-4.1,1464.0,5
gpt-5.1-high,1455.0,6
gemini-2.5-pro,1451.0,7
Anthropicclaude-sonnet-4-5-20250929-thinking-32k,1450.0,8
Anthropicclaude-opus-4-1-20250805-thinking-16k,1448.0,9
Anthropicclaude-sonnet-4-5-20250929,1447.0,10
gpt-4.5-preview-2025-02-27,1443.0,11
Anthropicclaude-opus-4-1-20250805,1441.0,12
chatgpt-4o-latest-20250326,1440.0,13
gpt-5.1,1438.0,14
gpt-5-high,1436.0,15
o3-2025-04-16,1433.0,16
qwen3-max-preview,1433.0,16
grok-4-1-fast-reasoning,1430.0,18
ernie-5.0-preview-1103,1429.0,19
MoonshotAIkimi-k2-thinking-turbo,1428.0,20
gpt-5-chat,1425.0,21
glm-4.6,1424.0,22
qwen3-max-2025-09-23,1424.0,22
deepseek-v3.2-exp,1423.0,24
Anthropicclaude-opus-4-20250514-thinking-16k,1423.0,24
deepseek-v3.2-exp-thinking,1422.0,26
deepseek-v3.2-thinking,1422.0,26
qwen3-235b-a22b-instruct-2507,1421.0,28
grok-4-fast-chat,1420.0,29
deepseek-v3.2,1419.0,30
MoonshotAIkimi-k2-0905-preview,1419.0,30
deepseek-r1-0528,1418.0,32
mistral-large-3,1417.0,33
deepseek-v3.1,1417.0,33
MoonshotAIkimi-k2-0711-preview,1416.0,35
deepseek-v3.1-thinking,1416.0,35
deepseek-v3.1-terminus,1415.0,37
qwen3-vl-235b-a22b-instruct,1414.0,38
deepseek-v3.1-terminus-thinking,1414.0,38
gpt-4.1-2025-04-14,1412.0,40
Anthropicclaude-opus-4-20250514,1412.0,40
mistral-medium-2508,1411.0,42
grok-3-preview-02-24,1410.0,43
grok-4-0709,1409.0,44
glm-4.5,1409.0,44
gemini-2.5-flash,1408.0,46
gemini-2.5-flash-preview-09-2025,1405.0,47
Anthropicclaude-haiku-4-5-20251001,1402.0,48
grok-4-fast-reasoning,1402.0,48
o1-2024-12-17,1401.0,50
qwen3-next-80b-a3b-instruct,1400.0,51
longcat-flash-chat,1400.0,51
qwen3-235b-a22b-no-thinking,1400.0,51
Anthropicclaude-sonnet-4-20250514-thinking-32k,1399.0,54
qwen3-235b-a22b-thinking-2507,1397.0,55
deepseek-r1,1396.0,56
qwen3-vl-235b-a22b-thinking,1394.0,57
deepseek-v3-0324,1392.0,58
gpt-5-mini-high,1392.0,58
Tencenthunyuan-vision-1.5-thinking,1391.0,60
o4-mini-2025-04-16,1391.0,60
mai-1-preview,1391.0,60
Anthropicclaude-sonnet-4-20250514,1389.0,63
mimo-v2-flash (non-thinking),1388.0,64
o1-preview,1387.0,65
Anthropicclaude-3-7-sonnet-20250219-thinking-32k,1387.0,65
qwen3-coder-480b-a35b-instruct,1386.0,67
Tencenthunyuan-t1-20250711,1385.0,68
mistral-medium-2505,1383.0,69
qwen3-30b-a3b-instruct-2507,1382.0,70
gpt-4.1-mini-2025-04-14,1381.0,71
Tencenthunyuan-turbos-20250416,1380.0,72
gemini-2.5-flash-lite-preview-09-2025-no-thinking,1378.0,73
gemini-2.5-flash-lite-preview-06-17-thinking,1375.0,74
qwen3-235b-a22b,1374.0,75
qwen2.5-max,1373.0,76
Anthropicclaude-3-5-sonnet-20241022,1372.0,77
Anthropicclaude-3-7-sonnet-20250219,1371.0,78
glm-4.5-air,1370.0,79
qwen3-next-80b-a3b-thinking,1367.0,80
Minimaxminimax-m1,1366.0,81
gemma-3-27b-it,1364.0,82
o3-mini-high,1362.0,83
grok-3-mini-high,1362.0,83
gemini-2.0-flash-001,1360.0,85
deepseek-v3,1357.0,86
grok-3-mini-beta,1357.0,86
intellect-3,1355.0,88
mistral-small-2506,1355.0,88
gpt-oss-120b,1353.0,90
gemini-2.0-flash-lite-preview-02-05,1352.0,91
glm-4.5v,1352.0,91
Coherecommand-a-03-2025,1352.0,91
gemini-1.5-pro-002,1351.0,94
o3-mini,1348.0,95
amazon-nova-experimental-chat-10-20,1347.0,96
Tencenthunyuan-turbos-20250226,1346.0,97
Stepfunstep-3,1346.0,97
ling-flash-2.0,1346.0,97
amazon-nova-experimental-chat-10-09,1346.0,97
Minimaxminimax-m2,1346.0,97
Nvidiallama-3.1-nemotron-ultra-253b-v1,1346.0,97
gpt-4o-2024-05-13,1345.0,103
qwen3-32b,1345.0,103
qwen-plus-0125,1344.0,105
glm-4-plus-0111,1343.0,106
Anthropicclaude-3-5-sonnet-20240620,1342.0,107
gemma-3-12b-it,1340.0,108
Nvidianvidia-llama-3.3-nemotron-super-49b-v1.5,1340.0,108
Tencenthunyuan-turbo-0110,1339.0,110
gpt-5-nano-high,1338.0,111
o1-mini,1336.0,112
Metallama-3.1-405b-instruct-bf16,1335.0,113
gpt-4o-2024-08-06,1334.0,114
grok-2-2024-08-13,1334.0,114
qwq-32b,1334.0,114
gemini-advanced-0514,1334.0,114
nova-2-lite,1334.0,114
Metallama-3.1-405b-instruct-fp8,1333.0,119
Stepfunstep-2-16k-exp-202412,1332.0,120
01.AIyi-lightning,1328.0,121
Metallama-4-maverick-17b-128e-instruct,1327.0,122
qwen3-30b-a3b,1326.0,123
Nvidiallama-3.3-nemotron-49b-super-v1,1326.0,123
Tencenthunyuan-large-2025-02-10,1325.0,125
gpt-4-turbo-2024-04-09,1324.0,126
Anthropicclaude-3-5-haiku-20241022,1322.0,127
Metallama-4-scout-17b-16e-instruct,1322.0,127
deepseek-v2.5-1210,1322.0,127
gemini-1.5-pro-001,1322.0,127
Anthropicclaude-3-opus-20240229,1322.0,127
gpt-4.1-nano-2025-04-14,1321.0,132
ring-flash-2.0,1320.0,133
Stepfunstep-1o-turbo-202506,1320.0,133
Metallama-3.3-70b-instruct,1319.0,135
gemma-3n-e4b-it,1318.0,136
glm-4-plus,1318.0,136
gpt-oss-20b,1318.0,136
qwen-max-0919,1317.0,139
gpt-4o-mini-2024-07-18,1316.0,140
qwen2.5-plus-1127,1314.0,141
mistral-large-2407,1313.0,142
gpt-4-0125-preview,1313.0,142
gpt-4-1106-preview,1313.0,142
athene-v2-chat,1313.0,142
mercury,1311.0,146
Tencenthunyuan-standard-2025-02-10,1310.0,147
gemini-1.5-flash-002,1310.0,147
grok-2-mini-2024-08-13,1307.0,149
deepseek-v2.5,1306.0,150
athene-70b-0725,1305.0,151
magistral-medium-2506,1305.0,151
mistral-large-2411,1305.0,151
olmo-3-32b-think,1304.0,154
mistral-small-3.1-24b-instruct-2503,1303.0,155
gemma-3-4b-it,1302.0,156
qwen2.5-72b-instruct,1302.0,156
Nvidiallama-3.1-nemotron-70b-instruct,1297.0,158
Tencenthunyuan-large-vision,1294.0,159
Metallama-3.1-70b-instruct,1293.0,160
jamba-1.5-large,1288.0,161
amazon-nova-pro-v1.0,1288.0,161
ibm-granite-h-small,1287.0,163
gemma-2-27b-it,1287.0,163
reka-core-20240904,1287.0,163
gpt-4-0314,1286.0,166
Nvidiallama-3.1-nemotron-51b-instruct,1286.0,166
